ID,projectID,projectName,duration,field,views,appreciations,comments,pic,color,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
178,75801485,‘Rotation’ mechanical hand drill (concept),258,Industrial Design,108,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/3c44f475801485.Y3JvcCwxNDAwLDEwOTUsMCw1NTQ.png,"[{'r': 182, 'g': 187, 'b': 181}]",8319793,Pavel_Yunusov,1840,6,42,2740,174,6
179,76223641,Cordless screwdriver,249,Industrial Design,66,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/4e3b1376223641.Y3JvcCw2Mjk2LDQ5MjUsNTQ1LDQ5OA.png,"[{'r': 254, 'g': 254, 'b': 254}]",101366185,ivetaradinc6d8,748,11,10,65,6,0
180,78217503,JST Tools Drill,202,Product Design,119,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/13385c78217503.Y3JvcCw5NjMsNzU0LDAsMA.jpg,"[{'r': 17, 'g': 156, 'b': 140}]",39794953,bartoszskorski,1194,69,12,929,25,1
181,78488299,「Super Pipe」-Modular Electric Drill Design,199,Industrial Design,72,6,0,https://mir-s3-cdn-cf.behance.net/projects/404/b47a6178488299.Y3JvcCwxODQxLDE0NDAsMzQxLDA.gif,"[{'r': 38, 'g': 38, 'b': 38}]",294863139,brooklynyueng,270,55,20,489,25,0
182,15695553,PORSCHE DESIGN Drill,2030,Automotive Design,287,5,1,https://mir-s3-cdn-cf.behance.net/projects/404/15695553.5489ef6e5138b.jpg,"[{'r': 238, 'g': 238, 'b': 235}]",5048155,KaranSavant,2076,70,32,2103,65,0
183,16572485,Drill Project,1997,Industrial Design,152,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/16572485.548b31af33a25.jpg,"[{'r': 253, 'g': 243, 'b': 208}]",3271051,BlackCrimsonDesign,2265,34,16,1539,43,0
184,16835511,Power Drill,1986,Creative Direction,231,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/16835511.548b92cd5510a.jpg,"[{'r': 160, 'g': 160, 'b': 160}]",1533153,k4kappos,2607,1,10,2116,54,0
185,17955213,Hand drill,1941,Engineering,103,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/17955213.548d37c30d2ee.jpg,"[{'r': 240, 'g': 240, 'b': 240}]",2203245,engmahmoudsayed,2442,3,28,3316,99,0
186,19902629,Cordless Drill Project,1856,Industrial Design,52,5,1,https://mir-s3-cdn-cf.behance.net/projects/404/19902629.541cbbca08be7.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",1123388,AlexanderGibson,2729,14,22,2307,59,0
187,20794109,Homerill drill design (Masters thesis case study) ,1820,Industrial Design,82,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/20794109.544d1d1ea65a2.jpg,"[{'r': 47, 'g': 47, 'b': 47}]",8362779,EMorshedzadeh,1839,6,5,658,54,0
188,24335885,DCD750C1,1685,Engineering,175,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/1ccbce24335885.54fe0c8a138db.jpg,"[{'r': 159, 'g': 219, 'b': 254}]",12034563,murrayet6abc,1691,3,2,260,9,0
189,30625573,drill press machine 3d Design,1457,Industrial Design,95,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/2161b230625573.562b91f3cab0d.jpg,"[{'r': 175, 'g': 175, 'b': 175}]",8107771,ksa_design,1853,1016,465,10170,608,86
190,31522331,DRILL: Kettlebell Alarm Clock & Mobile App,1426,Industrial Design,195,5,1,https://mir-s3-cdn-cf.behance.net/projects/404/9788c531522331.Y3JvcCw3NDksNTg2LDg3LDE2.jpg,"[{'r': 254, 'g': 254, 'b': 254}]",2346407,biancarague,2413,36,36,3343,85,0
191,41632703,Drill,1164,Industrial Design,53,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/484ce141632703.Y3JvcCwxMjgzLDEwMDQsMCwxOQ.jpg,"[{'r': 252, 'g': 247, 'b': 242}]",40509357,rubenvillarreal,1186,19,6,440,34,5
192,45203435,Festool household companion,1070,Industrial Design,139,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/436ac645203435.Y3JvcCw0MDQxLDMxNjMsNDk4LDIzOQ.jpg,"[{'r': 50, 'g': 51, 'b': 52}]",28022794,hendrick244f36,1342,27,24,567,28,0
193,45758707,Drill. Marker,1055,Illustration,21,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/3759f645758707.Y3JvcCw1MDIsMzkzLDMxLDA.jpg,"[{'r': 251, 'g': 250, 'b': 249}]",55488135,marcelodia8a05,1055,13,2,21,5,0
194,4943649,DRILL,2610,Industrial Design,329,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/4943649.5464b85878524.jpg,"[{'r': 228, 'g': 227, 'b': 224}]",1320509,matwil,2660,5,24,1416,26,2
195,57382239,TITAN drill,746,Industrial Design,73,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/ee595257382239.Y3JvcCwxOTI0LDE1MDYsMCw2Nzk.jpg,"[{'r': 47, 'g': 47, 'b': 45}]",35170101,russcluff,1246,25,16,924,58,3
196,57503439,Drill Design,737,Industrial Design,114,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/dbbbec57503439.Y3JvcCwxMDcyLDgzOSw0NTUsOTU.jpeg,"[{'r': 56, 'g': 220, 'b': 238}]",35897395,cameronabsher,1238,0,6,724,20,0
197,59171729,One Armed Drill,675,Industrial Design,87,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/5af70a59171729.Y3JvcCw5ODAsNzY3LDQxOCww.jpg,"[{'r': 254, 'g': 254, 'b': 254}]",111750569,christopher-dowd,705,2,2,152,13,0
198,6435045,BOSCH Drill,2489,Industrial Design,193,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/6435045.546c8b9615934.jpg,"[{'r': 9, 'g': 9, 'b': 9}]",441953,vinitgogri,3086,30,194,10837,524,10
199,66396577,Model Making | Hand Drill,503,Industrial Design,37,5,0,https://mir-s3-cdn-cf.behance.net/projects/404/3e51fa66396577.Y3JvcCwxMjY4LDk5MywyNSww.jpg,"[{'r': 253, 'g': 253, 'b': 253}]",161541181,vaibhavipa6c18,503,2,2,231,18,0
200,82408801,CORDLESS DRILL,103,Industrial Design,28,5,1,https://mir-s3-cdn-cf.behance.net/projects/404/bb642882408801.Y3JvcCwxMTk0LDkzNCwxMDMsMA.jpg,"[{'r': 244, 'g': 244, 'b': 244}]",106989609,ekaterinatiholova24,725,95,16,434,52,1
201,17109257,Drill Bits – A Few Considerations to Look On,1976,Industrial Design,98,4,0,https://mir-s3-cdn-cf.behance.net/projects/404/17109257.548bf8f755cfd.jpg,"[{'r': 248, 'g': 249, 'b': 250}]",5574683,stanleytools,2020,8,3,852,12,0
202,17424613,Laser Drill 2030,1963,Industrial Design,65,4,0,https://mir-s3-cdn-cf.behance.net/projects/404/17424613.548c6f8858887.jpg,"[{'r': 36, 'g': 83, 'b': 107}]",3496093,NataliaSwerte,2230,0,5,279,13,0
203,17653577,Drill/Hitch Concept,1953,Industrial Design,80,4,0,https://mir-s3-cdn-cf.behance.net/projects/404/17653577.548cc5fc73f1a.jpg,"[{'r': 29, 'g': 21, 'b': 21}]",2526971,BJonesDesign,2382,191,57,2949,144,0
204,20064513,Form analasys Dyson & Xbox,1850,Drawing,112,4,0,https://mir-s3-cdn-cf.behance.net/projects/404/20064513.54255efa3ccb5.jpg,"[{'r': 252, 'g': 252, 'b': 252}]",8167157,Niekvermond,1850,0,0,561,27,0
205,21004113,Drill Concept,1812,Industrial Design,160,4,0,https://mir-s3-cdn-cf.behance.net/projects/404/21004113.54579d0e06abd.jpg,"[{'r': 233, 'g': 233, 'b': 233}]",9475369,matyasmagyar,1812,99,213,9445,477,8
206,26896417,Hammer Drill (designed for Dewalt),1596,Industrial Design,146,4,1,https://mir-s3-cdn-cf.behance.net/projects/404/5d69fb26896417.5573797f64cbd.jpg,"[{'r': 42, 'g': 41, 'b': 42}]",8304615,Egemen_Yenikale,1841,12,8,432,11,1
