duration,views,appreciations,comments,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments
1911,33766,1661,42,2912,25,3824,147543,9646,10
1696,9459,1656,28,1866,176,4298,115244,17582,549
1739,20317,1655,65,3122,122,1687,39021,4129,0
1317,21097,1655,52,2428,75,3530,141797,10471,28
1706,20538,1653,36,2897,0,67015,2026951,119070,0
172,26119,1649,72,2607,0,16309,991250,72502,20
772,15296,1643,35,1973,141,4240,94989,10045,39
2266,44348,1643,38,2310,425,567,54027,2277,205
1608,20352,1638,48,2228,448,6726,202829,17302,7
1601,37515,1638,58,1603,0,3030,122218,5917,0
1595,7843,1634,21,2068,233,5810,257054,70663,642
686,5701,1631,5,734,10,733,68416,14818,47
850,5221,1626,3,1515,48,386,36616,10212,22
1461,15690,1625,46,2121,5,7133,192644,17319,4
2216,21300,1624,68,3126,84,5413,126372,9530,180
1203,29559,1623,55,1209,3,11861,421578,28504,1
879,19531,1623,48,2228,448,6726,202829,17302,7
1831,18584,1622,39,2679,363,6763,213974,19034,50
445,16068,1622,60,1546,182,653,27169,2516,0
1106,16281,1621,77,1833,732,7042,180436,17334,193
1823,19472,1617,41,1918,136,5849,130246,10304,22
1246,22198,1617,16,3484,2169,30277,3795317,188511,508
959,20722,1617,58,1675,23,6080,172534,15987,158
560,13212,1617,60,2322,528,6124,173790,11706,74
