ID,projectID,projectName,field,duration,views,appreciations,comments,ownerID,ownerName,ownerDuration,ownerFollowings,ownerFollowers,ownerViews,ownerAppreciations,ownerComments,pic,color,,
74,17587787,Grovemade Desk Collection,Furniture Design,1845,38037,4392,167,1016817,grove,2658,31,3946,85074,8214,1,https://mir-s3-cdn-cf.behance.net/projects/404/17587787.548cad683ea4c.jpg,"[{'r': 98, 'g': 96, 'b': 95}]",,
75,37747837,Brass pop up candle holder by studio inbetween,Crafts,1127,41768,4331,170,24987137,studioinbetween,1274,0,2173,61593,5850,46,https://mir-s3-cdn-cf.behance.net/projects/404/794f2437747837.Y3JvcCwxMDA0LDc4Niw5NCww.jpg,"[{'r': 189, 'g': 195, 'b': 203}]",,
76,19454597,Sound sculpture,Art Direction,1763,44336,4316,114,363377,arthurkenzo,3031,494,18150,232617,16401,3,https://mir-s3-cdn-cf.behance.net/projects/404/19454597.548f72709590c.jpg,"[{'r': 252, 'g': 252, 'b': 252}]",,
77,22291675,Xmas_HappyNewYear_AUDI,Automotive Design,1649,48891,4311,126,4302823,smartyom,2038,62,11109,339155,27327,200,https://mir-s3-cdn-cf.behance.net/projects/404/c7ff3322291675.Y3JvcCwxNTM0LDEyMDAsMTc4LDA.jpg,"[{'r': 248, 'g': 248, 'b': 248}]",,
78,16463981,Captain America | Coupé Design by Daniel Simon,Automotive Design,1889,72631,4309,187,2334457,danielsimonstudio,2304,32,15736,189730,13001,20,https://mir-s3-cdn-cf.behance.net/projects/404/16463981.548b08ba173f1.jpg,"[{'r': 13, 'g': 4, 'b': 6}]",,
79,5291861,Lomography - La Sardina Metal Western Edition,Creative Direction,2468,49968,4250,13,1338531,montserratllaurado,2544,417,7803,237940,11560,16,https://mir-s3-cdn-cf.behance.net/projects/404/5291861.54667f4c6fc8e.jpg,"[{'r': 72, 'g': 54, 'b': 41}]",,
80,73134667,SHIFT F1,Industrial Design,213,42048,4174,151,1924997,byShift,2397,12,5790,267817,24978,0,https://mir-s3-cdn-cf.behance.net/projects/404/c7a0e173134667.Y3JvcCwxOTg4LDE1NTUsODY2LDgz.png,"[{'r': 255, 'g': 242, 'b': 0}]",,
81,30802365,MARACANÁ,Graphic Design,1334,53109,4129,259,1543181,rubioydelamo,2493,320,8868,423050,33795,273,https://mir-s3-cdn-cf.behance.net/projects/404/842e0b30802365.Y3JvcCw2MzcsNDk4LDg4LDI0.jpg,"[{'r': 161, 'g': 162, 'b': 167}]",,
82,67364739,Evix,Branding,301,24099,4109,37,20584105,a_kulina,1337,48,462,84503,12444,111,https://mir-s3-cdn-cf.behance.net/projects/404/887eef67364739.Y3JvcCw4MDAsNjI2LDAsMjEw.jpg,"[{'r': 254, 'g': 254, 'b': 254}]",,
83,52101085,Kapital,UI/UX,784,66113,4079,245,3992803,ikov,2067,59,17340,781396,59477,987,https://mir-s3-cdn-cf.behance.net/projects/404/23c5e352101085.Y3JvcCwxNjE2LDEyNjQsMCww.png,"[{'r': 233, 'g': 0, 'b': 0}]",,
84,27241853,Love Guide Condoms 食色，性也,Graphic Design,1473,100818,4066,218,10523957,a9041102,1649,145,2005,119206,5077,13,https://mir-s3-cdn-cf.behance.net/projects/404/ee662f27241853.559a26ba9b70a.jpg,"[{'r': 199, 'g': 198, 'b': 199}]",,
85,59114193,Electric Relaxation,Drawing,586,21357,4063,114,882235,lawniczak,2715,834,10777,162929,26247,145,https://mir-s3-cdn-cf.behance.net/projects/404/1ab80c59114193.Y3JvcCwxMTUzLDkwMiwyNSww.jpg,"[{'r': 244, 'g': 218, 'b': 181}]",,
